trait,Source,SS,DF,MS,F,p-unc,np2
nerv01,origin,1.5360529645161627,1.0,1.5360529645161627,376.17705919202456,3.0369211253138757e-80,0.08411497447732702
nerv01,side,0.05659450891901741,1.0,0.05659450891901741,13.859910057384457,0.00019960216873500942,0.0033723558371095276
nerv01,origin:side,0.12497060211951598,1.0,0.12497060211951598,30.605112373572357,3.360040018863951e-08,0.007416535272978585
nerv02,origin,0.9786606179345121,1.0,0.9786606179345121,348.159943256898,1.2229497202909765e-74,0.07834100205712878
nerv02,side,0.951772584414923,1.0,0.951772584414923,338.59448608725415,1.021899531444965e-72,0.0763529759371536
nerv02,origin:side,0.059120968679740316,1.0,0.059120968679740316,21.03237089919214,4.6507391210262785e-06,0.005108624126411351
nerv03,origin,1.0132829635574092,1.0,1.0132829635574092,499.0372248180801,2.0997999027572534e-104,0.10860352166958502
nerv03,side,0.6779632616583088,1.0,0.6779632616583088,333.89380537769966,9.02608121512159e-72,0.0753728689776642
nerv03,origin:side,0.2433364637554567,1.0,0.2433364637554567,119.84209538394002,1.642006315694962e-27,0.028426609126361482
nerv04,origin,0.042243664954672834,1.0,0.042243664954672834,38.27956997715014,6.730814220680472e-10,0.009259066623150913
nerv04,side,0.21197748085983248,1.0,0.21197748085983248,192.08576767334617,1.0127149161495085e-42,0.04479522520781322
nerv04,origin:side,0.28851033330385956,1.0,0.28851033330385956,261.4368688106535,4.708623467303403e-57,0.059997855776625794
nerv05,origin,0.07441595638436148,1.0,0.07441595638436148,115.28843853167943,1.5298161336094237e-26,0.027376048972764317
nerv05,side,0.005587726204294698,1.0,0.005587726204294698,8.656748637461071,0.00327679759544358,0.0021090067130058255
nerv05,origin:side,0.00595085754351738,1.0,0.00595085754351738,9.219327513215445,0.002409803687111241,0.002245757602140142
