term,statistic,value,num_df,den_df,F,p_value
(Intercept),Pillai's trace,0.9993830111108271,5.0,4092.0,1325623.6386841065,0.0
(Intercept),Wilks' lambda,0.0006169888891729425,5.0,4092.0,1325623.6386841065,0.0
(Intercept),Hotelling-Lawley trace,1619.77472957491,5.0,4092.0000000001164,1325623.6386841063,0.0
(Intercept),Roy's greatest root,1619.77472957491,5.0,4092.0,1325623.6386841063,0.0
origin,Pillai's trace,0.1358375943156607,5.0,4092.0,128.64420675636822,6.588672676774031e-127
origin,Wilks' lambda,0.8641624056843393,5.0,4092.0,128.6442067563682,6.588672676774029e-127
origin,Hotelling-Lawley trace,0.15718989095352914,5.0,4092.0000000001164,128.64420675636825,6.588672676770122e-127
origin,Roy's greatest root,0.15718989095352914,5.0,4092.0,128.64420675636825,6.588672676774033e-127
side,Pillai's trace,0.22664357047053205,5.0,4092.0,239.84425678847444,3.1775173560705586e-225
side,Wilks' lambda,0.7733564295294679,5.0,4092.0,239.8442567884744,3.1775173560705586e-225
side,Hotelling-Lawley trace,0.2930648298979404,5.0,4092.0000000001164,239.84425678847444,3.177517356065088e-225
side,Roy's greatest root,0.2930648298979404,5.0,4092.0,239.84425678847444,3.1775173560705586e-225
origin:side,Pillai's trace,0.12195363747513345,5.0,4092.0,113.66923339064871,8.154555802375597e-113
origin:side,Wilks' lambda,0.8780463625248666,5.0,4092.0,113.66923339064871,8.154555802375597e-113
origin:side,Hotelling-Lawley trace,0.1388920251596392,5.0,4092.0000000001164,113.66923339064873,8.154555802370969e-113
origin:side,Roy's greatest root,0.1388920251596392,5.0,4092.0,113.66923339064871,8.154555802375597e-113
