colony,origin,trait,mean_diff_RL,n_pairs,t_stat,t_pvalue,wilcox_stat,wilcox_pvalue,t_pvalue_bonf,t_pvalue_holm,t_pvalue_bh,wilcox_pvalue_bonf,wilcox_pvalue_holm,wilcox_pvalue_bh
COY11,Coyhaique,nerv01,-0.026184155229999992,100,-9.307540833307364,3.5444733017162667e-15,492.0,2.7804816391215147e-12,4.25336796205952e-13,3.1191365055103145e-13,1.2888993824422787e-14,3.3365779669458176e-10,2.5858479243830085e-10,1.191634988194935e-11
COY12,Coyhaique,nerv01,-0.024137437760000005,100,-8.745622810304674,5.914316732791643e-14,565.0,1.612485784622476e-11,7.0971800793499715e-12,4.908882888217064e-12,1.8676789682499926e-13,1.9349829415469714e-09,1.3867377747753293e-09,5.5285226901342034e-11
RPR01,Ribeirão Preto,nerv01,-0.011649999999999988,74,-2.613636148987081,0.010873493295281643,913.0,0.010662960202340728,1.0,0.29309593518925986,0.013734938899303129,1.0,0.3092258458678811,0.013908208959574862
RPR02,Ribeirão Preto,nerv01,0.02073100110256412,78,7.390003681250946,1.5060677322978292e-10,2735.0,2.7307090290497953e-09,1.807281278757395e-08,1.0542474126084805e-08,3.5436887818772453e-10,3.2768508348597546e-07,1.9114963203348568e-07,6.425197715411283e-09
RPR03,Ribeirão Preto,nerv01,0.02435897437500001,80,6.983671670699235,8.029567100903439e-10,2806.0,1.3005056161152823e-08,9.635480521084126e-08,4.8980359315510976e-08,1.6059134201806877e-09,1.5606067393383388e-06,8.06313481991475e-07,2.645096168370066e-08
RPR04,Ribeirão Preto,nerv01,0.010204306367088604,79,3.199746565838205,0.0019895488783641013,2211.0,0.0020610071582444394,0.23874586540369216,0.06963421074274355,0.0027761147139964202,0.24732085898933273,0.07625726485504426,0.002944295940349199
RPR05,Ribeirão Preto,nerv01,0.003265529349999988,80,1.0243168462026004,0.30881201061486413,1986.0,0.07959463175633158,1.0,1.0,0.3222386197720321,1.0,1.0,0.08894745438374212
RPR06,Ribeirão Preto,nerv01,0.013435679287499993,80,3.787812789918512,0.0002950398488233335,2328.0,0.000690375149996416,0.03540478185880002,0.01357183304587334,0.00047206375811733356,0.08284501799956992,0.028305381149853058,0.001035562724994624
RPR07,Ribeirão Preto,nerv01,0.0036555392500000005,80,1.1203427099561676,0.2659621438157844,1784.0,0.4329268977788012,1.0,1.0,0.28243767484862065,1.0,1.0,0.4402646418089504
RPR08,Ribeirão Preto,nerv01,-0.040354948624999984,80,-11.840273149247414,3.4635392738212125e-19,133.0,1.00601872184142e-12,4.156247128585455e-17,3.602080844774061e-17,2.444851252109091e-18,1.207222466209704e-10,9.758381601861774e-11,4.907543804807321e-12
