,PC1,PC2,PC3,PC4,PC5
nerv01,0.458017774085684,-0.4417098800321329,-0.47382481437944074,-0.07935016629532336,-0.6035774158223505
nerv02,0.5171548306138057,-0.3378124012265474,-0.07990973349144537,-0.26267534392272684,0.7369191006743974
nerv03,0.4353568017234404,-0.19309150182520712,0.7980076640550414,0.3130074892057034,-0.19593419029505854
nerv04,0.3897585545016577,0.6312083215968673,0.1387742684673126,-0.6271261327645615,-0.19266250272113514
nerv05,0.4258207653230596,0.5050414736725135,-0.3361992717011631,0.6583648989040108,0.13090261757924532
