term,Df,SumOfSqs,R2,F,Pr(>F)
origin,1,3.6396738580523698,0.07281491655828591,340.9918954285032,0.001
side,1,1.9038955620564257,0.03808912608477866,178.37118976119942,0.001
origin:side,1,0.7218892254020843,0.014442036776368244,67.63198705693723,0.001
Residual,4096,43.71981951022157,0.8746539205805671,,
Total,4099,49.98527815573245,1.0,,
