trait,term,estimate,std_err,z,p_value,AIC,BIC
nerv01,Intercept,1.899252435291012,0.00807845756667715,235.10087409819954,0.0,-11595.237579628723,-11557.32512611257
nerv01,origin[T.Ribeirao_Preto],-0.027502124957770713,0.002585033823942482,-10.638980698452418,1.9626458722609592e-26,-11595.237579628723,-11557.32512611257
nerv01,side[T.left],0.017606140600106703,0.0024609375911642845,7.15424099470037,8.413714176501368e-13,-11595.237579628723,-11557.32512611257
nerv01,origin[T.Ribeirao_Preto]:side[T.left],-0.02214365675050451,0.0036459032192256496,-6.073572286213232,1.2509564830664307e-09,-11595.237579628723,-11557.32512611257
nerv02,Intercept,1.9355344466670976,0.007359328510262351,263.0042189267752,0.0,-13317.484458971612,-13279.572005455459
nerv02,origin[T.Ribeirao_Preto],-0.03877288068749595,0.0020942248694254023,-18.514191696202214,1.5866021083373e-76,-13317.484458971612,-13279.572005455459
nerv02,side[T.left],0.023512007782417774,0.001993680203131927,11.793269424796472,4.2280276761131935e-32,-13317.484458971612,-13279.572005455459
nerv02,origin[T.Ribeirao_Preto]:side[T.left],0.015386115326557787,0.002953656904386791,5.209174871904121,1.8968227615623725e-07,-13317.484458971612,-13279.572005455459
nerv03,Intercept,0.936430000150794,0.004826453473960866,194.02031019317081,0.0,-14206.838557916817,-14168.926104400663
nerv03,origin[T.Ribeirao_Preto],-0.047135501174704136,0.0018803894439853618,-25.066882461754062,1.142844766523759e-138,-14206.838557916817,-14168.926104400663
nerv03,side[T.left],0.01162252502801487,0.0017901420773108992,6.492515412784385,8.441487944477919e-11,-14206.838557916817,-14168.926104400663
nerv03,origin[T.Ribeirao_Preto]:side[T.left],0.031011029179452955,0.0026521131947610764,11.692950829063944,1.3848973446344157e-31,-14206.838557916817,-14168.926104400663
nerv04,Intercept,0.7716317955421748,0.003965130569424345,194.60438490785933,0.0,-16854.684028635384,-16816.77157511923
nerv04,origin[T.Ribeirao_Preto],-0.023212859315434892,0.0013605749181135217,-17.06106661705937,2.8922568401585767e-65,-16854.684028635384,-16816.77157511923
nerv04,side[T.left],-0.0009554013133246654,0.0012952642756926367,-0.7376111047405897,0.4607508053750746,-16854.684028635384,-16816.77157511923
nerv04,origin[T.Ribeirao_Preto]:side[T.left],0.033770468429498435,0.001918946850353419,17.59843865570264,2.5320901273033947e-69,-16854.684028635384,-16816.77157511923
nerv05,Intercept,0.7724430045694236,0.003975307574786889,194.31024896503342,0.0,-19629.727554034085,-19591.81510051793
nerv05,origin[T.Ribeirao_Preto],-0.010906130899821783,0.0009687243623938274,-11.258239519104796,2.1093034046407536e-29,-19629.727554034085,-19591.81510051793
nerv05,side[T.left],-0.004554274335676282,0.0009222107038503422,-4.9384314416018285,7.875345536256806e-07,-19629.727554034085,-19591.81510051793
nerv05,origin[T.Ribeirao_Preto]:side[T.left],0.004923533226506722,0.0013662642587702427,3.60364636262851,0.00031378391867384575,-19629.727554034085,-19591.81510051793
