"","Df","SumOfSqs","R2","F","Pr(>F)"
"origin",1,3.63967385805234,0.0728149165582853,340.9918954285,0.001
"side",1,1.90389556205647,0.0380891260847795,178.371189761203,0.001
"origin:side",1,0.721889225402069,0.0144420367763679,67.6319870569357,0.001
"Residual",4096,43.7198195102216,0.874653920580567,NA,NA
"Total",4099,49.9852781557325,1,NA,NA
