"trait","term","estimate","std_err","z","p_value","AIC","BIC"
"nerv01","(Intercept)",1.89925243124946,0.00807469460882443,235.210434977177,0,-11595.2375847631,-11557.3251312469
"nerv01","originRibeirao_Preto",-0.0275021283311443,0.00258503669041708,-10.638970206147,1.96286687252533e-26,-11595.2375847631,-11557.3251312469
"nerv01","sideleft",0.0176061396319665,0.00246094074844677,7.15423142271046,8.41430122539308e-13,-11595.2375847631,-11557.3251312469
"nerv01","originRibeirao_Preto:sideleft",-0.0221436570980999,0.00364590794855151,-6.07356450315687,1.25101714443554e-09,-11595.2375847631,-11557.3251312469
"nerv02","(Intercept)",1.93553444043047,0.00735356180926515,263.210467340029,0,-13317.484473291,-13279.5720197748
"nerv02","originRibeirao_Preto",-0.0387728788491647,0.00209422928815912,-18.5141517542462,1.58777922792269e-76,-13317.484473291,-13279.5720197748
"nerv02","sideleft",0.023512007990166,0.00199368452342383,11.7932439731176,4.22930594441337e-32,-13317.484473291,-13279.5720197748
"nerv02","originRibeirao_Preto:sideleft",0.0153861130785163,0.00295366324627832,5.20916292603875,1.89694487729389e-07,-13317.484473291,-13279.5720197748
"nerv03","(Intercept)",0.936430006083055,0.00482847917982724,193.938913518637,0,-14206.8385622322,-14168.9261087161
"nerv03","originRibeirao_Preto",-0.047135502612909,0.0018803871375294,-25.0669139732785,1.1419409632521e-138,-14206.8385622322,-14168.9261087161
"nerv03","sideleft",0.0116225250020221,0.00179013994544927,6.49252313014292,8.44105538771057e-11,-14206.8385622322,-14168.9261087161
"nerv03","originRibeirao_Preto:sideleft",0.0310110304700691,0.00265210996369944,11.6929655612061,1.38465707962871e-31,-14206.8385622322,-14168.9261087161
"nerv04","(Intercept)",0.771631800429724,0.00396258434752052,194.729432299038,0,-16854.6840384958,-16816.7715849797
"nerv04","originRibeirao_Preto",-0.0232128626772276,0.00136057689314808,-17.0610443218083,2.89336096304682e-65,-16854.6840384958,-16816.7715849797
"nerv04","sideleft",-0.00095540154020367,0.00129526660343837,-0.737609954327157,0.460751504654676,-16854.6840384958,-16816.7715849797
"nerv04","originRibeirao_Preto:sideleft",0.0337704667564971,0.00191895022791453,17.598406808705,2.53351420814194e-69,-16854.6840384958,-16816.7715849797
"nerv05","(Intercept)",0.772443006475901,0.00397801189593149,194.17815398338,0,-19629.7275646565,-19591.8151111403
"nerv05","originRibeirao_Preto",-0.0109061296952402,0.000968722499587642,-11.2582599246767,2.10881512369779e-29,-19629.7275646565,-19591.8151111403
"nerv05","sideleft",-0.00455427451035716,0.000922208978378583,-4.93844087092323,7.87496482067327e-07,-19629.7275646565,-19591.8151111403
"nerv05","originRibeirao_Preto:sideleft",0.00492353412204968,0.00136626167716138,3.60365382733935,0.000313774902648227,-19629.7275646565,-19591.8151111403
