"trait","Source","SS","DF","MS","F","p-unc","np2"
"nerv01","origin",1.53605296451628,1,1.53605296451628,376.177059192053,3.03692112527414e-80,0.0841149744773328
"nerv01","side",0.056594508919023,1,0.056594508919023,13.8599100573858,0.000199602168734866,0.00337235583710985
"nerv01","origin:side",0.124970602119504,1,0.124970602119504,30.6051123735694,3.36004001886909e-08,0.00741653527297787
"nerv02","origin",0.978660617934555,1,0.978660617934555,348.159943256913,1.22294972028263e-74,0.0783410020571318
"nerv02","side",0.951772584414957,1,0.951772584414957,338.594486087266,1.02189953143933e-72,0.0763529759371561
"nerv02","origin:side",0.0591209686797391,1,0.0591209686797391,21.0323708991917,4.65073912102733e-06,0.00510862412641125
"nerv03","origin",1.01328296355748,1,1.01328296355748,499.037224818116,2.0997999027238e-104,0.108603521669592
"nerv03","side",0.677963261658327,1,0.677963261658327,333.893805377708,9.02608121508775e-72,0.0753728689776659
"nerv03","origin:side",0.243336463755444,1,0.243336463755444,119.842095383933,1.64200631570026e-27,0.02842660912636
"nerv04","origin",0.0422436649546825,1,0.0422436649546825,38.2795699771587,6.73081422065127e-10,0.00925906662315296
"nerv04","side",0.211977480859836,1,0.211977480859836,192.085767673348,1.01271491614859e-42,0.0447952252078136
"nerv04","origin:side",0.288510333303851,1,0.288510333303851,261.436868810644,4.70862346732372e-57,0.0599978557766238
"nerv05","origin",0.0744159563843771,1,0.0744159563843771,115.288438531704,1.52981613359124e-26,0.0273760489727699
"nerv05","side",0.00558772620429426,1,0.00558772620429426,8.65674863746039,0.0032767975954448,0.00210900671300566
"nerv05","origin:side",0.00595085754351787,1,0.00595085754351787,9.21932751321621,0.00240980368711023,0.00224575760214033
