"colony","origin","trait","mean_diff_RL","n_pairs","t_stat","t_pvalue","wilcox_stat","wilcox_pvalue","t_pvalue_bonf","t_pvalue_holm","t_pvalue_bh","wilcox_pvalue_bonf","wilcox_pvalue_holm","wilcox_pvalue_bh"
"RPR03","Ribeirão Preto","nerv01",0.024358974375,80,6.98367167069924,8.02956710090342e-10,2806,1.30050561611529e-08,9.63548052108411e-08,4.89803593155109e-08,1.60591342018068e-09,1.56060673933835e-06,8.06313481991482e-07,2.64509616837009e-08
"RPR04","Ribeirão Preto","nerv01",0.0102043063670886,79,3.1997465658382,0.0019895488783641,2211,0.00206100715824444,0.238745865403692,0.0696342107427436,0.00277611471399642,0.247320858989333,0.0762572648550443,0.0029442959403492
"RPR05","Ribeirão Preto","nerv01",0.00326552934999999,80,1.0243168462026,0.308812010614864,1986,0.0795946317563316,1,1,0.322238619772032,1,1,0.0889474543837421
"RPR06","Ribeirão Preto","nerv01",0.0134356792875,80,3.78781278991851,0.000295039848823333,2328,0.000690375149996417,0.0354047818588,0.0135718330458733,0.000472063758117334,0.08284501799957,0.0283053811498531,0.00103556272499463
"RPR07","Ribeirão Preto","nerv01",0.00365553925,80,1.12034270995617,0.265962143815785,1784,0.432926897778801,1,1,0.282437674848621,1,1,0.44026464180895
"RPR08","Ribeirão Preto","nerv01",-0.040354948625,80,-11.8402731492474,3.46353927382115e-19,133,1.00601872184143e-12,4.15624712858538e-17,3.602080844774e-17,2.44485125210905e-18,1.20722246620971e-10,9.75838160186185e-11,4.90754380480732e-12
"RPR09","Ribeirão Preto","nerv01",0.00207914255000001,80,0.723705990924222,0.471383831034857,1847,0.277320171741768,1,1,0.487638445898128,1,1,0.286882936284588
"RPR10","Ribeirão Preto","nerv01",0.00663686424050633,79,2.06359736431536,0.0423821176123949,1930,0.0876306263201359,1,0.805260234635502,0.0498613148381116,1,1,0.0955970468946937
"RPR11","Ribeirão Preto","nerv01",0.0135336023875,80,4.5252696802191,2.10043228012161e-05,2456,6.14173640800295e-05,0.00252051873614593,0.00107122046286202,3.60074105163704e-05,0.00737008368960354,0.00307086820400148,0.000103803995628219
"RPR12","Ribeirão Preto","nerv01",0.00906670286666666,60,2.44344796438814,0.0175582521512748,1169,0.0323667948438998,1,0.413048528914045,0.0214999005933978,1,0.679702691721896,0.0388401538126798
"COY01","Coyhaique","nerv02",-0.022096344959596,99,-8.79236316501536,5.03204908168239e-14,477,8.31300059093607e-12,6.03845889801887e-12,4.27724171943003e-12,1.67734969389413e-13,9.97560070912328e-10,7.3985705259331e-10,3.11737522160102e-11
"COY02","Coyhaique","nerv02",-0.0242994272959184,98,-10.582206255095,7.45128112608539e-18,255,1.4763950551984e-14,8.94153735130247e-16,7.30225550356368e-16,3.8876249353489e-17,1.77167406623808e-12,1.68309036292618e-12,2.53096295176869e-13
"COY03","Coyhaique","nerv02",-0.0232109921313131,99,-9.55936732154677,1.09510233682618e-15,454,1.76198834020276e-12,1.31412280419141e-13,9.74641079775298e-14,4.10663376309816e-15,2.11438600824331e-10,1.6562690397906e-10,7.83105928979005e-12
"COY04","Coyhaique","nerv02",-0.0292042418717949,78,-11.4022191062795,3.30576015311403e-18,109,1.02240495933486e-12,3.96691218373684e-16,3.30576015311403e-16,1.88900580177945e-17,1.22688595120183e-10,9.81508760961464e-11,4.90754380480732e-12
"COY05","Coyhaique","nerv02",-0.0223154188041237,97,-8.8085839892139,5.38149464446785e-14,482,9.42275057141147e-12,6.45779357336142e-12,4.520455501353e-12,1.74534961442201e-13,1.13073006856938e-09,8.2920205028421e-10,3.42645475324054e-11
"COY06","Coyhaique","nerv02",-0.021937367109375,64,-7.43960381209572,3.4116256060143e-10,187,1.19038341982021e-08,4.09395072721717e-08,2.2175566439093e-08,7.31062629860208e-10,1.42846010378426e-06,7.49941554486735e-07,2.46286224790389e-08
"COY07","Coyhaique","nerv02",-0.0180766280128205,78,-7.03782228412026,7.04841717716957e-10,377,6.92988546679548e-09,8.45810061260348e-08,4.37001864984513e-08,1.43357637501754e-09,8.31586256015457e-07,4.57372440808501e-07,1.51197501093719e-08
"COY08","Coyhaique","nerv02",-0.02211340919,100,-10.4872141787501,9.48893299442137e-18,382,1.75013110444712e-13,1.13867195933056e-15,9.13964967305706e-16,4.55468783732226e-17,2.10015732533654e-11,1.85513897071394e-11,1.35504732934202e-12
"COY09","Coyhaique","nerv02",-0.0220363886060606,99,-9.85704952846913,2.47266016025953e-16,383,2.87893790543822e-13,2.96719219231143e-14,2.29957394904136e-14,1.05971149725408e-15,3.45472548652587e-11,2.96530604260137e-11,1.91929193695882e-12
"COY10","Coyhaique","nerv02",-0.02086327090625,96,-8.21897495221188,1.03829063203573e-12,449,6.66671440991193e-12,1.24594875844288e-10,8.30632505628584e-11,3.03889941083628e-12,8.00005729189432e-10,6.00004296892074e-10,2.58066364254655e-11
"COY11","Coyhaique","nerv02",-0.02923995656,100,-12.0215264150425,4.61494452947358e-21,263,7.49888811602258e-15,5.53793343536829e-19,4.98414009183146e-19,4.25994879643715e-20,8.99866573922709e-13,8.99866573922709e-13,2.3998597444228e-13
"COY12","Coyhaique","nerv02",-0.02617334565,100,-10.7644225964898,2.36857025554944e-18,334,5.0102891076803e-14,2.84228430665933e-16,2.41594166066043e-16,1.49593910876807e-17,6.01234692921636e-12,5.56142090952513e-12,6.01234692921636e-13
