AMOSTRA,colony_code,mean_nerv,origin,colony_num
1,CH01,1.2157231662,Chile,01
2,CH01,1.250049864,Chile,01
3,CH01,1.2876233548,Chile,01
4,CH01,1.2319891832,Chile,01
5,CH01,1.2518839788,Chile,01
6,CH01,1.2332179218000001,Chile,01
7,CH01,1.2293691037999999,Chile,01
8,CH01,1.2393701421999999,Chile,01
9,CH01,1.2494559239999998,Chile,01
10,CH01,1.2147135022,Chile,01
11,CH01,1.2575866346,Chile,01
12,CH01,1.2453428152000001,Chile,01
13,CH01,1.193659028,Chile,01
14,CH01,1.2943996242,Chile,01
15,CH01,1.1589824863999998,Chile,01
16,CH01,1.2394026128,Chile,01
17,CH01,1.2352185304,Chile,01
18,CH01,1.2343336382,Chile,01
19,CH01,1.1888749728,Chile,01
20,CH01,1.2963005678,Chile,01
21,CH01,1.2206097696,Chile,01
22,CH01,1.287858891,Chile,01
23,CH01,1.199391135,Chile,01
24,CH01,1.2387127122000001,Chile,01
25,CH01,1.2767325924000001,Chile,01
26,CH01,1.2595570461999999,Chile,01
27,CH01,1.2588621953999999,Chile,01
28,CH01,1.2784714411999998,Chile,01
29,CH01,1.2415404828,Chile,01
30,CH01,1.2336226261999998,Chile,01
31,CH01,1.2766109438000002,Chile,01
32,CH01,1.2582938996,Chile,01
33,CH01,1.233357255,Chile,01
34,CH01,1.1477724323999998,Chile,01
35,CH01,1.246459466,Chile,01
36,CH01,1.2608919928,Chile,01
37,CH01,1.2145985708,Chile,01
38,CH01,1.2208373862,Chile,01
39,CH01,1.2443907079999998,Chile,01
40,CH01,1.255706756,Chile,01
41,CH01,1.2762088062,Chile,01
42,CH01,1.286802394,Chile,01
43,CH01,1.2719298937999999,Chile,01
44,CH01,1.2138861396,Chile,01
45,CH01,1.1834913014,Chile,01
46,CH01,1.2277140041999999,Chile,01
47,CH01,1.2537449070000002,Chile,01
48,CH01,1.2629295244,Chile,01
49,CH01,1.2055820795999999,Chile,01
50,CH01,1.2399730908,Chile,01
51,CH01,1.2592119062,Chile,01
52,CH01,1.2260970223999998,Chile,01
53,CH01,1.3138556529999998,Chile,01
54,CH01,1.2362138206,Chile,01
