pair_id,origin,colony_own,colony_label,amost,side,hamuli,nerv01,nerv02,nerv03,nerv04,nerv05
01,Chile,1,CH01,206,left,21,1.903955941,1.93485981,0.882791588,0.73246608,0.727842713
01,Chile,1,CH01,207,left,21,1.899937052,1.987858594,0.959665941,0.766095298,0.749388897
01,Chile,1,CH01,208,left,23,1.966761807,2.013888889,0.981405046,0.790721902,0.79178849
01,Chile,1,CH01,209,left,23,1.841967254,1.884825081,0.919319604,0.756275188,0.771333671
01,Chile,1,CH01,210,left,22,1.923059488,1.983559939,0.98508358,0.721854875,0.736929576
01,Chile,1,CH01,211,left,20,1.983170901,1.974971187,0.900772345,0.756211419,0.74386638
01,Chile,1,CH01,212,left,22,1.884518023,1.916389875,0.930089021,0.761359449,0.745517728
01,Chile,1,CH01,213,left,21,1.985601139,2.001855813,0.855323291,0.723856324,0.730719247
01,Chile,1,CH01,214,left,22,1.889731226,1.9573111,0.949333749,0.783338258,0.742795905
01,Chile,1,CH01,215,left,22,1.777302996,1.880662745,0.92736289,0.742276331,0.755413845
01,Chile,1,CH01,216,left,22,1.896392876,1.96428371,0.970236066,0.776847162,0.787207226
01,Chile,1,CH01,217,left,22,1.783221916,1.885784315,0.978772576,0.791331557,0.780408497
01,Chile,1,CH01,218,left,23,1.846138467,1.911539539,0.872709745,0.741626351,0.740064072
01,Chile,1,CH01,219,left,22,1.883071618,1.99741828,0.977564686,0.781149685,0.787207226
01,Chile,1,CH01,220,left,22,1.78196393,1.831662222,0.842598952,0.727809584,0.716389374
01,Chile,1,CH01,221,left,20,1.836513446,1.948915989,0.913082217,0.736635034,0.746971767
01,Chile,1,CH01,222,left,22,1.82057058,1.914917177,0.891083445,0.768075648,0.757231087
01,Chile,1,CH01,223,left,20,1.87672246,1.943563789,0.873041238,0.783338258,0.751188616
01,Chile,1,CH01,224,left,21,1.806677002,1.857492855,0.910384619,0.760281888,0.710135235
01,Chile,1,CH01,225,left,21,1.985795429,2.050034816,1.003514272,0.801624749,0.790721902
01,Chile,1,CH01,226,left,22,1.842477721,1.871241088,0.893704404,0.812025027,0.782999584
01,Chile,1,CH01,227,left,21,1.903993934,1.967350203,0.956948476,0.815136984,0.812529677
01,Chile,1,CH01,228,left,21,1.820729508,1.833359638,0.941426961,0.743444862,0.732893913
01,Chile,1,CH01,229,left,21,1.886449098,1.936404509,1.00624976,0.727014018,0.7464551
01,Chile,1,CH01,230,left,21,1.996005366,2.057244051,0.956948476,0.746390491,0.736929576
01,Chile,1,CH01,231,left,22,1.893300608,1.953562451,0.947833991,0.793157709,0.767196124
01,Chile,1,CH01,232,left,23,1.92531513,1.918477406,0.98508358,0.751317002,0.771614969
01,Chile,1,CH01,233,left,20,1.932503015,1.966639203,0.933763129,0.810955322,0.783830614
01,Chile,1,CH01,234,left,21,1.895731581,1.999445332,0.992108134,0.741496287,0.755413845
01,Chile,1,CH01,235,left,23,1.891771697,1.940298159,0.920891987,0.720216231,0.722522641
01,Chile,1,CH01,236,left,23,1.911678291,1.914274876,0.979388273,0.770050904,0.760789165
01,Chile,1,CH01,237,left,23,1.897409804,1.909772727,0.925671261,0.751317002,0.757071855
01,Chile,1,CH01,238,left,20,1.860502077,1.9429806,0.942015873,0.761517785,0.754615428
01,Chile,1,CH01,239,left,22,1.741560891,1.820769238,0.863460058,0.767604599,0.735619595
01,Chile,1,CH01,240,left,20,1.864644759,1.916981154,0.901842464,0.772832742,0.77975938
01,Chile,1,CH01,241,left,22,1.967644335,2.075192427,0.893704404,0.740747975,0.744449627
01,Chile,1,CH01,242,left,21,1.831491078,1.931154983,0.877201815,0.7464551,0.772832742
01,Chile,1,CH01,243,left,20,1.842687102,1.891261786,0.910993598,0.737616385,0.72734561
01,Chile,1,CH01,244,left,20,1.905019462,1.990961443,0.926504449,0.756466465,0.764393773
01,Chile,1,CH01,245,left,21,1.932627785,1.952809388,1.02262692,0.777405665,0.769204987
01,Chile,1,CH01,246,left,20,1.90608239,1.97164751,0.986037752,0.766913205,0.744482016
